,hit_type_id,hit_id,assign_id,worker_id
0,3ES1UQ6TFXNUY4AWL458RLJRVPGLM9,3Y3CZJSZ9KUN44BK5XF1CGPE69IR5K,3OCHAWUVGOLD53GTBLU1R6PBP7WXKS,A3T3WRVSK1N2PR
1,3ES1UQ6TFXNUY4AWL458RLJRVPGLM9,3Y3CZJSZ9KUN44BK5XF1CGPE69IR5K,3SKEMFQBZ36NQ2FL3DI9B78IYZLK87,ATR6RB1RULOC0
