,hit_type_id,hit_id,assign_id,worker_id,missing,excess
0,3WIABKGAUP1E3VFCH2BNPUWLWSYE63,3HY86PZXPYJZ7I5WI4TPAJDEFWZE18,38BQUHLA9W1L1I24V6KLN6QM0QNOMI,A21LONLNBOB8Q,-,Assistant Secretary
1,3WIABKGAUP1E3VFCH2BNPUWLWSYE63,3HY86PZXPYJZ7I5WI4TPAJDEFWZE18,3Q5ZZ9ZEVOGK8JUIWQE39IP0ZQU587,AJQGWGESKQT4Y,,"not the best ""said"" but good enough"
