,hit_type_id,hit_id,assign_id,worker_id
12,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3TL87MO8CMQ4339W6PVECG7SPA2FLU,3G0WWMR1UVLU4C0KMKRPPQAMMXKQNV,A31PW970Z2PC5P
13,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3GS542CVJVOH04FYBGFFLVPK0M7594,3C2NJ6JBKAIDCTYZK91OT8CJ6QU2NF,A1PBRKFHSF1OF8
14,30CYSFZVFS451B6M9RY2L5G8NRKO0I,35F6NGNVM8KF7N2VXFZTAF4SLZ57TL,39LNWE0K4UXUI4WA6DY2UJBU3IGIUU,A1PBRKFHSF1OF8
15,30CYSFZVFS451B6M9RY2L5G8NRKO0I,388FBO7JZRU0RUTCNS3HETIX0GRYNB,3W8CV64QJ20W2HXN2KLQYBN1QKVH9D,A21LONLNBOB8Q
16,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3N5YJ55YXG4ZVCV97MP1B70QXPPANE,3P4RDNWND57L4OLGUEUONH2JM2KIJ0,A1PBRKFHSF1OF8
17,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3HA5ODM5KATG3DQCQDXJ6OO95YXVSB,3VP0C6EFSGXVCCW0VAYR664VH5I6MW,AJQGWGESKQT4Y
18,30CYSFZVFS451B6M9RY2L5G8NRKO0I,389A2A304OJK3V00QUJU6QU1PZZ0CV,3AZHRG4CU4LZCF2BN3DV16LY4BG03A,AJQGWGESKQT4Y
19,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3HEADTGN2PT42YQZBOXEGEJDJWEVRN,3PH3VY7DJLYT5YAP1H1PC2ZHKBVWZ6,AJQGWGESKQT4Y
20,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3UL5XDRDNCKHMZWO6O91LZU9GGP58F,3P59JYT76LLB763JH5N027IBV8CT23,A1PBRKFHSF1OF8
21,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3L55D8AUFAYH0QWLY2U3YIOL1CECY8,36WLNQG78ZB360LIA3RG4ELEM5JBEG,A31PW970Z2PC5P
22,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3XU9MCX6VODV57SXNED3E9M2MYM2RN,3F0BG9B9MPOEATZJXNRU6FRYLRVY7U,A1PBRKFHSF1OF8
23,30CYSFZVFS451B6M9RY2L5G8NRKO0I,31KPKEKW4AE1TQ8UCUNZV6OJ7EZ0BO,3300DTYQT2IQA6N7TLO6Z3GD84YQEJ,A1PBRKFHSF1OF8
24,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3O2Y2UIUCQVTJXRELPJDXGUD0AXFKR,3Y4W8Q93LZLDN85OJP7WZ8X0PLADV7,A3GWRDHAURRNK6
25,30CYSFZVFS451B6M9RY2L5G8NRKO0I,39KV3A5D188ESNPG8FU30A86JGR7SW,33SA9F9TRXVVU3JT5UNCRSYZW5QWE4,A1PBRKFHSF1OF8
26,30CYSFZVFS451B6M9RY2L5G8NRKO0I,33NKDW9FFXJS0L6BT681F4HCZ6KCX2,3WLEIWSYHOIL2XCOHB6BOOFNKEL2H6,A21LONLNBOB8Q
27,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3D06DR5225KTDUA9VLA1YSBQSZFAME,3VBEN272MK0070YBRK3ZU6GQ385GSM,A21LONLNBOB8Q
28,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3JUDR1D0D6SVT6DXAZO39JCXQCK2QM,3DYGAII7PL9U7XCX2Z4HTFFHMB3QP7,A1PBRKFHSF1OF8
