,hit_type_id,hit_id,assign_id,worker_id
0,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3XUSYT70IT2U8N6EQQE5QWCJAZBD08,3TK8OJTYM1MMC58EOYYRZ2EP33IPV0,A21LONLNBOB8Q
1,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3K3IX1W4S6SZYX7MN12TFW5LX4QAPA,39O5D9O87TTJ67XRZJ6FW7NZD1P3CK,A1PBRKFHSF1OF8
2,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3NSCTNUR2ZOV5NP33MTFHQ0464P5AJ,3M68NM076H8M9S9S0IU8S5Y5NSIR66,A21LONLNBOB8Q
3,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3M0556243SLUR3CHI2BTP8BHU52FNW,3CFJTT4SXTRSKTKET55RKRXAV7HI7Q,AJQGWGESKQT4Y
4,30CYSFZVFS451B6M9RY2L5G8NRKO0I,38G0E1M85M6WIQIGFISJLP6XQVIVUR,3NG53N1RLVKO1TC1G5NH7OUHS5T8PQ,A1PBRKFHSF1OF8
5,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3SX4X51T80AHDXVL81PEQW0VNZUAOT,3FE2ERCCZX9RMLZHNMCD4AKH7AJOPV,A21LONLNBOB8Q
6,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3XT3KXP24ZZ6U98FKTVXQU2NF75I6G,3W2LOLRXLBGT87UH2MO92O3NON2RKB,AJQGWGESKQT4Y
7,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3CVDZS288H1O9LRH61WTCTMHPFSFMW,3NS0A6KXC49X8CKPMCX7QZDTQN3ZG8,A21LONLNBOB8Q
8,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3D5G8J4N5A5HID3RFD29GTKV7HBVT0,3QUO65DNQUP4EQ7D48B7EG7GFRMOU2,A31PW970Z2PC5P
9,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3XQ4XW3OD9D76MSA23D84JRY8052SB,36W0OB37HWFB88F06IFPBZPU5ORZHK,A31PW970Z2PC5P
10,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3XUSYT70IT2U8N6EQQE5QWCJAZB0DV,3OHYZ19UGC6KZHTFY3UGEFVM8OQAO8,A21LONLNBOB8Q
11,30CYSFZVFS451B6M9RY2L5G8NRKO0I,3D0LPO3EAB0I9FTOO73UTII2QQWYOQ,3HOSI13XHZPRTR52S472TMRTPDIDDI,A21LONLNBOB8Q
